claim_id,domain,authority,register,id_scheme,identifier,identifier_kind,named_entity,completeness,subcode,pairing_basis,claim_basis,same_page_id_candidates,n_pages,n_sentences,page_types,page_type_example,self_ref_basis,example_sentence,example_url
fpmarkets-FSCA-FSP50926,fpmarkets.com,FSCA,South Africa FSCA FSP register,FSP,50926,licence-number,FP Markets (Pty) Ltd,authority+identifier,,same-sentence,self-referential-predication,,6,6,other:4; legal-or-corporate:1; editorial:1,other,SR-1 named legal entity in subject slot (FP Markets (Pty) Ltd),FP Markets (Pty) Ltd，一家受南非金融部门行为监管局 (FSCA) 授权和监管的金融服务提供商（FSP 编号 50926）,https://zhcn.fpmarkets.com/int/
fusionmarkets-ASIC-nonumber,fusionmarkets.com,ASIC,ASIC Professional Registers,,,,FMGP Trading Group Pty Ltd,identifier-truncated-at-extraction,,,self-referential-predication,,8,8,other:4; product-or-account:3; legal-or-corporate:1,legal-or-corporate,SR-3 operative/trading-name construction,ets is a trading name of FMGP Trading Group Pty Ltd (ABN 74 146 086 017) and is regulated by ASIC and licensed to carry on a financial services business in Australia under Australian Financial Services License No,https://fusionmarkets.com/zh/About-us/ID-documentation
fusionmarkets-FSASC-SD096,fusionmarkets.com,FSA-SC,Seychelles FSA capital-markets register,SD,096,licence-number,Markets International Ltd,authority+identifier,,same-sentence,self-referential-predication,,8,8,other:4; product-or-account:3; legal-or-corporate:1,legal-or-corporate,SR-3 operative/trading-name construction,n Markets International Ltd as Fusion Markets is a registered Securities Dealer regulated by the Financial Services Authority of Seychelles (license number SD096),https://fusionmarkets.com/zh/About-us/ID-documentation
fusionmarkets-VFSC-40256,fusionmarkets.com,VFSC,Vanuatu FSC register,EN-COMPANY,40256,company-registry-number,,authority+identifier,candidate-B-mis-anchor,same-sentence,self-referential-predication,,8,8,other:4; product-or-account:3; legal-or-corporate:1,legal-or-corporate,SR-2 brand self-reference (fusionmarkets),Fusion Markets EN is a registered Vanuatu company (company number 40256) and is regulated by the VFSC,https://fusionmarkets.com/zh/About-us/ID-documentation
fxcentrum-NOAUTH-SD055,fxcentrum.com,,,SD,055,licence-number,,identifier-no-authority,,,self-referential-predication,,39,40,other:30; editorial:5; legal-or-corporate:2; product-or-account:1; home:1,home,"identifier token, not a predication",我们很自豪地说，我们已获得 FSA 许可并受其监管，许可证号为 SD055,https://zh-cn.fxcentrum.com/
icmarkets-FCA-739090,icmarkets.sc,FCA,UK FCA Financial Services Register,FRN,739090,licence-number,Pelican Exchange Limited,authority+identifier,,same-sentence,self-referential-predication,,1,2,other:1,other,SR-1 named legal entity in subject slot (Pelican Exchange Limited),* Pelican Exchange Limited 是 London and Eastern LLP 的指定代表，受英国金融行为监管局（FCA）授权和管理，注册号为 FCA 739090 和 534484,https://www.icmarkets.sc/cn/social-trading-tools/social-trading-mobile-app
icmarkets-FSASC-SD018,icmarkets.sc,FSA-SC,Seychelles FSA capital-markets register,SD,018,licence-number,Raw Trading Ltd,authority+identifier,,same-sentence,self-referential-predication,,13,20,other:8; product-or-account:3; legal-or-corporate:2,other,SR-1 named legal entity in subject slot (Raw Trading Ltd),"aw Trading Ltd registered in Seychelles with registration number: 8419879-1, is regulated by the Financial Services Authority of Seychelles with License number: SD018",https://www.icmarkets.sc/global/tw/
iux-ASIC-529610,iux.com,ASIC,ASIC Professional Registers,AFSL?,529610,licence-number,IUX Markets AU Pty. Ltd.,authority+identifier,,same-sentence,self-referential-predication,,1,2,legal-or-corporate:1,legal-or-corporate,SR-1 named legal entity in subject slot (IUX Markets AU Pty. Ltd),"IUX Markets AU Pty. Ltd. 受澳大利亚证券和投资委员会（ASIC）监管，许可证编号为 529610，注册办公地址为 Suite 6.04, Level 6, 10 Bridge Street",https://www.iux.com/zh/company/regulation
iux-FSCMU-GB22200605,iux.com,FSC-MU,Mauritius FSC Online Public Register,GB,22200605,licence-number,,authority+identifier,,same-sentence,self-referential-predication,,1,2,legal-or-corporate:1,legal-or-corporate,SR-2 brand self-reference (iux),IUX MARKETS (MU) LTD 受毛里求斯金融服务委员会 (FSC) 监管，许可证编号为 GB22200605，是一家投资交易商（全方位服务交易商，不包括承销）,https://www.iux.com/zh/company/regulation
m4markets-NOAUTH-SD035,m4markets.com,,,SD,035,licence-number,,identifier-no-authority,,,identifier-token-only,,40,40,editorial:27; other:7; product-or-account:3; legal-or-corporate:3,other,"identifier token, not a predication",牌照号 SD035,https://m4markets.com/zh-hans/
m4markets-NOAUTH-301,m4markets.com,,,CN-LIC,301,licence-number,,identifier-no-authority,,,identifier-token-only,,40,40,editorial:27; other:7; product-or-account:3; legal-or-corporate:3,other,"identifier token, not a predication",牌照号 301,https://m4markets.com/zh-hans/
m4markets-NOAUTH-8425037,m4markets.com,,,CN-REG,8425037,company-registry-number,,identifier-no-authority,candidate-B-mis-anchor,,identifier-token-only,,40,40,editorial:27; other:7; product-or-account:3; legal-or-corporate:3,other,"identifier token, not a predication",注册号 8425037,https://m4markets.com/zh-hans/
m4markets-NOAUTH-F007051,m4markets.com,,,CN-LIC,F007051,licence-number,,identifier-no-authority,,,identifier-token-only,,40,40,editorial:27; other:7; product-or-account:3; legal-or-corporate:3,other,"identifier token, not a predication",牌照号 F007051,https://m4markets.com/zh-hans/
m4markets-CySEC-nonumber,m4markets.com,CySEC,CySEC regulated entities register,,,,,identifier-unpaired-same-page,,,self-referential-predication,CN-LIC:301; CN-LIC:F007051; CySEC:301/16,4,4,other:3; legal-or-corporate:1,other,SR-2 brand self-reference (m4 markets),M4Markets 受到三大权威监管机构的监管：塞舌尔金融服务管理局（FSA）、塞浦路斯证券交易委员会（CySEC）和迪拜金融服务管理局（DFSA），体现了,https://m4markets.com/zh-hans/%E4%B8%8E%E4%B8%89%E9%87%8D%E7%9B%91%E7%AE%A1%E7%BB%8F%E7%BA%AA%E5%95%86%E4%BA%A4%E6%98%93%E5%B7%AE%E4%BB%B7%E5%90%88%E7%BA%A6-15/
m4markets-CySEC-301-16,m4markets.com,CySEC,CySEC regulated entities register,CySEC,301/16,licence-number,,authority+identifier,,same-sentence,identifier-token-only,,40,80,editorial:27; other:7; product-or-account:3; legal-or-corporate:3,other,"identifier token, not a predication",CySEC）授权和监管，许可证编号为 301/16,https://m4markets.com/zh-hans/
pepperstone-NOAUTH-177174,pepperstone.com,,,CN-REG,177174,company-registry-number,,identifier-no-authority,candidate-B-mis-anchor,,identifier-token-only,,1,1,other:1,other,"identifier token, not a predication",注册号177174,https://pepperstone.com/zh/
rock-west-NOAUTH-SD044,rock-west.com,,,SD,044,licence-number,,identifier-no-authority,,,identifier-token-only,,13,13,other:6; editorial:6; legal-or-corporate:1,other,"identifier token, not a predication",牌照号 SD044,https://www.rock-west.com/zh/blank-1
rock-west-NOAUTH-8425341,rock-west.com,,,CN-REG,8425341,company-registry-number,,identifier-no-authority,candidate-B-mis-anchor,,identifier-token-only,,13,13,other:6; editorial:6; legal-or-corporate:1,other,"identifier token, not a predication",注册号 8425341,https://www.rock-west.com/zh/blank-1
t4trade-NOAUTH-SD029,t4trade.com,,,SD,029,licence-number,,identifier-no-authority,,,identifier-token-only,,3,3,other:3,other,"identifier token, not a predication",许可证号 SD029,https://partners.t4trade.com/zh/
tradequo-FSASC-SD140,tradequo.com,FSA-SC,Seychelles FSA capital-markets register,SD,140,licence-number,Trade Quo Global Ltd,authority+identifier,,same-sentence,self-referential-predication,,5,5,legal-or-corporate:2; product-or-account:2; editorial:1,legal-or-corporate,SR-1 named legal entity in subject slot (Trade Quo Global Ltd),"Trade Quo Global Ltd, a securities dealer firm that is authorized and regulated by the Seychelles Financial Services Authority (FSA) with license number SD140",https://tradequo.com/zh/company/business
xs-ASIC-374409,xs.com,ASIC,ASIC Professional Registers,AFSL?,374409,licence-number,XS Prime Ltd,authority+identifier,,same-sentence,self-referential-predication,,40,120,editorial:40,editorial,SR-1 named legal entity in subject slot (XS Prime Ltd),XS Prime Ltd 受澳大利亚证券和投资委员会 (ASIC) 监管，监管牌照编号：374409,https://www.xs.com/zh-Hans/blog/
xs-CySEC-412-22,xs.com,CySEC,CySEC regulated entities register,CySEC,412/22,licence-number,XS Markets Ltd,authority+identifier,,same-sentence,self-referential-predication,,40,80,editorial:40,editorial,SR-1 named legal entity in subject slot (XS Markets Ltd),XS Markets Ltd 受塞浦路斯证券交易委员会 (CySEC) 监管，监管牌照编号：412/22,https://www.xs.com/zh-Hans/blog/
xs-FSASC-SD089,xs.com,FSA-SC,Seychelles FSA capital-markets register,SD,089,licence-number,XS Ltd,authority+identifier,,same-sentence,self-referential-predication,,40,40,editorial:40,editorial,SR-1 named legal entity in subject slot (XS Ltd),XS Ltd 受塞舌尔金融服务管理局 (FSA) 监管，监管牌照编号：SD089,https://www.xs.com/zh-Hans/blog/
xs-FSCMU-GB25204786,xs.com,FSC-MU,Mauritius FSC Online Public Register,GB,25204786,licence-number,XS Trade Services Ltd,authority+identifier,,same-sentence,self-referential-predication,,40,80,editorial:40,editorial,SR-1 named legal entity in subject slot (XS Trade Services Ltd),XS Trade Services Ltd 受毛里求斯金融服务委员会（FSC）监管，监管牌照编号：GB25204786,https://www.xs.com/zh-Hans/blog/
xs-FSCA-FSP53199,xs.com,FSCA,South Africa FSCA FSP register,FSP?,53199,licence-number,XS ZA (Pty) Ltd,authority+identifier,,same-sentence,self-referential-predication,,40,40,editorial:40,editorial,SR-1 named legal entity in subject slot (XS ZA (Pty) Ltd),XS ZA (Pty) Ltd 受南非金融部门行为监管局 (FSCA) 监管，监管牌照编号：53199,https://www.xs.com/zh-Hans/blog/
xs-LFSA-MB21-0081,xs.com,LFSA,Labuan FSA financial institutions directory,MB,21/0081,licence-number,XS Finance Ltd,authority+identifier,,same-sentence,self-referential-predication,,40,40,editorial:40,editorial,SR-1 named legal entity in subject slot (XS Finance Ltd),XS Finance Ltd 受马来西亚纳闽金融服务管理局 (LFSA) 监管，监管牌照编号：MB/21/0081,https://www.xs.com/zh-Hans/blog/
xs-SCAAE-20200000339,xs.com,SCA-AE,UAE Securities and Commodities Authority register,CN-LIC,20200000339,licence-number,XSTrade Financial Consultation L.L.C,authority+identifier,,same-sentence,self-referential-predication,,40,40,editorial:40,editorial,SR-1 named legal entity in subject slot (XSTrade Financial Consultation L.L.C),XSTrade Financial Consultation L.L.C 受阿拉伯联合酋长国证券与商品管理局（CMA）监管，监管牌照编号：20200000339,https://www.xs.com/zh-Hans/blog/
